Posición,ISIN,Tipo,Participaciones,Fecha,Moneda,Precio,Gasto,Identificador,Nombre
Bestinver Internacional FI,ES0114638036,Compra,132.6854,2018-06-26,EUR,45.2197,0.0,,
Azvalor Internacional FI,ES0112611001,Compra,40.768,2018-07-03,EUR,122.65,0.0,,
Cartesio Y FI,ES0182527038,Compra,2.6695,2018-07-05,EUR,2247.6,0.0,,
Cobas Selección C FI,ES0124037005,Compra,47.9163,2018-07-09,EUR,104.3487,0.0,,
Fundsmith Equity T EUR Acc,LU0690375182,Compra,57.94,2018-07-11,EUR,34.5203,0.0,,
Seilern World Growth EUR H FI,IE0031724234,Compra,17.35,2018-07-11,EUR,230.52,0.0,,
Renta 4 Bolsa España R FI,ES0173394034,Compra,41.8599,2018-07-24,EUR,35.8338,0.0,,
Seilern World Growth EUR U FI,IE00B2NXKW18,Compra,7.03,2018-07-24,EUR,284.3401,0.0,,
Fundsmith Equity T EUR Acc,LU0690375182,Compra,113.04,2018-07-25,EUR,35.3871,0.0,,
Seilern World Growth EUR U FI,IE00B2NXKW18,Compra,14.13,2018-07-27,EUR,285.16,0.0,,
Azvalor Internacional FI,ES0112611001,Compra,3.0,2021-06-21,EUR,137.424,0.0,,
Azvalor Internacional FI,ES0112611001,Compra,4.0,2022-07-01,EUR,187.954,0.0,,
Azvalor Internacional FI,ES0112611001,Compra,2.0,2023-07-04,EUR,212.67,0.0,,
